N	3gram	Losev_Prob_5	Freidism
1	с точки зрения	8	11
2	по отношению к	2	8
3	во всяком случае	2	7
4	не может быть	2	7
5	в самом деле	1	6
6	в большинстве случаев	1	5
7	в то же	1	4
8	можно сказать что	3	4
9	на самом деле	1	4
10	то же время	1	4
11	в данном случае	2	4
12	с самого начала	1	3
13	в таком случае	2	3
14	бы то ни	2	3
15	для того чтобы	2	3
16	с одной стороны	3	2
17	это и есть	1	2
18	и притом в	1	2
19	но в то	1	2
20	до сих пор	2	2
21	то ни было	1	2
22	может быть это	1	2
23	а с другой	3	2
24	в конце концов	6	2
25	из тех же	1	2
26	так и в	1	2
27	ничего общего не	1	2
28	в чем не	1	2
29	не в силах	1	2
30	в этом отношении	1	2
31	то или иное	1	2
32	ни в чем	1	2
33	тем не менее	5	2
34	о том что	9	1
35	мы находим в	2	1
36	во что бы	1	1
37	ни о каком	1	1
38	зависит от того	1	1
39	или по крайней	1	1
40	но вместо этого	1	1
41	характерно именно для	1	1
42	за то за	1	1
43	она основана на	1	1
44	то обстоятельство что	1	1
45	а также и	1	1
46	были в ходу	1	1
47	что бы то	1	1
48	от того что	1	1
49	то за что	1	1
50	равно как и	2	1
51	друг на друга	1	1
52	какой степени не	1	1
53	имея в виду	1	1
54	только в период	1	1
55	в этом смысле	3	1
56	но не только	1	1
57	для искусства в	1	1
58	то ни стало	1	1
59	бросается в глаза	1	1
60	в том что	8	1
61	в нем и	1	1
62	приходит в голову	1	1
63	мировой гармонии в	1	1
64	это уже не	2	1
65	даже тогда когда	1	1
66	в то время	3	1
67	и т д	1	1
68	потому что оно	1	1
69	но никогда не	1	1
70	чем иным как	2	1
71	как раз и	1	1
72	отождествить себя с	1	1
73	далеко не всегда	3	1
74	все же остается	1	1
75	что он и	2	1
76	той или иной	1	1
77	еще задолго до	1	1
78	как будто бы	3	1
79	в своей знаменитой	1	1
80	но все же	2	1
81	же время это	1	1
82	только потому что	1	1
83	в такой же	1	1
84	по аналогии с	1	1
85	ни в какой	1	1
86	потому что самый	1	1
87	не чем иным	2	1
88	и все же	1	1
89	но тем не	1	1
90	в какой степени	1	1
91	по крайней мере	4	1
92	но даже и	2	1
93	а вовсе не	1	1
94	не в его	1	1
95	на первый взгляд	1	1
