N	4gram	Potebnia_M_1	Formalny
1	в то же время	3	8
2	с одной стороны и	1	4
3	все более и более	2	2
4	как бы ни были	1	2
5	во что бы то	1	2
6	бы то ни стало	1	2
7	что бы то ни	1	2
8	чтобы убедиться в этом	1	2
9	тем не менее в	1	1
10	и как бы ни	1	1
11	с этой точки зрения	1	1
12	и в том что	1	1
13	и т п мы	1	1
14	не говоря уже о	1	1
15	друг другу и не	1	1
16	и потому не могут	1	1
17	так и в каждом	1	1
18	бы то ни было	1	1
19	то же время не	1	1
20	в более или менее	1	1
21	прежде всего должны быть	1	1
