N	4gram	Bakhtin_Pr_3	Dialekti
1	одно и то же	1	4
2	в то же время	12	4
3	мы можем сказать что	1	2
4	не может и не	1	2
5	и в то же	5	2
6	и в этом смысле	1	2
7	и т д и	1	2
8	что в нем есть	1	2
9	несмотря на то что	1	2
10	то же время как	1	1
11	именно с точки зрения	1	1
12	может и не должен	1	1
13	он на самом деле	1	1
14	взаимоотношение внутреннего и внешнего	1	1
15	и в нем нет	1	1
16	как раз и показывает	1	1
17	на самом же деле	1	1
18	ни того ни другого	1	1
19	ни в чем не	2	1
20	но в то же	3	1
21	но в конце концов	1	1
