N	4gram	Bakhtin_Pr_1	slovoVRo
1	в то же время	3	4
2	с одной стороны и	1	3
3	но в то же	1	3
4	никогда не может быть	1	2
5	ни в чем не	2	2
6	а также и в	1	1
7	не для того чтобы	1	1
8	может иметь место в	1	1
9	и в то же	2	1
10	в нем не только	1	1
11	на нем и с	1	1
12	в значительной степени и	1	1
13	и не может быть	1	1
14	между тем как в	2	1
15	все снова и снова	1	1
16	во всех его моментах	1	1
17	именно в том что	1	1
18	точка зрения на мир	1	1
19	не может быть конечно	1	1
20	как убираются леса когда	1	1
