N	4gram	Losev_Dial_4	VeschiIm
1	не что иное как	8	8
2	д и т д	2	7
3	и т д и	3	7
4	т д и т	2	7
5	есть не что иное	5	5
6	в то же время	6	4
7	это значило бы что	1	3
8	и в то же	2	3
9	уже не может быть	1	2
10	с этой точки зрения	2	2
11	если это так то	1	2
12	дело в том что	1	2
13	т е в сущности	1	2
14	– в том что	1	1
15	в себе не содержит	1	1
16	ни в каком случае	1	1
17	и т д в	1	1
18	должна быть не просто	1	1
19	что она не есть	1	1
20	это и значит что	1	1
21	и – мы получим	1	1
22	жизни и т д	1	1
23	вопрос о том как	1	1
24	и есть не что	1	1
25	вещь от всего прочего	1	1
26	д все это –	1	1
27	с тем или другим	1	1
28	диалектически это значит что	1	1
29	или по крайней мере	3	1
30	все же это не	1	1
31	не имеет никакого отношения	2	1
32	не есть ни просто	1	1
33	заключается не в том	1	1
34	же это не есть	1	1
35	она есть прежде всего	1	1
36	ни с какой стороны	1	1
37	что с точки зрения	1	1
38	ни о каком бытии	1	1
39	но это значит что	1	1
40	т е прежде всего	1	1
41	т д все это	1	1
42	но в то же	2	1
43	в качестве одного из	1	1
44	и т д все	2	1
45	и тем не менее	1	1
46	не будучи в состоянии	1	1
47	в том что тут	1	1
48	делает не что иное	1	1
49	имеет никакого отношения к	2	1
