N	4gram	Vinokur_St_1	Problema
1	в то время как	1	3
2	и о том что	1	2
3	также и то что	1	2
4	дело в том что	4	2
5	в том что и	1	1
6	уже о том что	1	1
7	в том числе и	2	1
8	что бы то ни	1	1
9	в то же время	4	1
10	же мере в какой	1	1
11	в том смысле что	1	1
12	с другой же стороны	1	1
13	о том что от	1	1
14	не говоря уже о	1	1
15	бы то ни стало	1	1
16	в том что он	1	1
17	но в то же	2	1
18	одним и тем же	2	1
19	той и другой стороны	1	1
20	во что бы то	1	1
21	уверен в том что	1	1
22	свидетельствует о том что	1	1
