N	3gram	Voloshinov_1	KulturaY
1	с точки зрения	5	16
2	для того чтобы	1	11
3	в самом деле	2	11
4	можно было бы	1	10
5	тем не менее	1	9
6	в том что	2	8
7	в зависимости от	2	7
8	с одной стороны	2	4
9	до тех пор	4	4
10	в связи с	1	4
11	тех пор пока	3	4
12	в данном случае	2	4
13	можно говорить о	1	3
14	с другой стороны	2	3
15	на самом деле	1	3
16	и в области	1	3
17	того или иного	2	3
18	не может быть	4	3
19	только то что	1	2
20	и тот же	1	2
21	один и тот	1	2
22	по отношению к	3	2
23	в отличие от	1	2
24	более или менее	1	2
25	лишь с точки	1	2
26	в своей статье	1	2
27	то или иное	1	2
28	в чем же	1	1
29	так же как	1	1
30	те или иные	1	1
31	которые не только	1	1
32	мы не можем	1	1
33	в собственном смысле	1	1
34	в то же	1	1
35	не должно быть	1	1
36	тех случаях когда	1	1
37	в другом месте	1	1
38	постановка вопроса о	1	1
39	чуть ли не	1	1
40	тех или иных	1	1
41	и вместе с	1	1
42	что в ней	1	1
43	может быть и	1	1
44	то же слово	2	1
45	никоим образом не	1	1
46	к тому что	1	1
47	вопросы связанные с	2	1
48	и не может	1	1
49	и к тому	1	1
50	смысле слова и	1	1
51	само собой разумеется	1	1
52	ту или иную	1	1
53	в связи со	1	1
54	он все равно	1	1
55	если только они	1	1
56	говорить об особой	2	1
57	и пр на	1	1
58	может быть не	1	1
59	есть прежде всего	3	1
60	в конечном счете	1	1
61	в пределах данной	2	1
62	само собою разумеется	1	1
63	в тех случаях	1	1
64	то же самое	1	1
65	то же время	1	1
66	все же остальные	1	1
67	должно составить предмет	1	1
68	прежде всего в	1	1
69	чем же объясняется	1	1
70	выходит за пределы	1	1
71	собственном смысле слова	1	1
72	вопрос в чем	1	1
73	лишь в процессе	1	1
74	в одном случае	1	1
75	в лингвистической поэтике	1	1
76	само по себе	1	1
77	а не как	1	1
78	и должно составить	1	1
79	этой точки зрения	1	1
80	а вовсе не	1	1
81	с этой точки	1	1
82	речи во всем	1	1
