N	3gram	Savitsky_P_1	Komedia
1	в том что	4	9
2	для того чтобы	1	6
3	в то же	7	4
4	то же время	7	4
5	с одной стороны	3	3
6	до тех пор	1	3
7	с точки зрения	3	3
8	вместе с тем	1	3
9	во всяком случае	1	3
10	по сравнению с	1	2
11	именно потому что	1	2
12	с другой стороны	1	2
13	на пути к	1	1
14	в том числе	2	1
15	друг с другом	1	1
16	и в частности	1	1
17	нет ничего более	1	1
18	и в то	2	1
19	на чужбине и	1	1
20	и как раз	2	1
21	и в этом	1	1
22	а в качестве	1	1
23	насколько мы можем	1	1
24	и если бы	2	1
25	и не может	1	1
26	за то что	1	1
27	и т д	1	1
28	и тем более	1	1
29	потому что по	1	1
30	в отличие от	1	1
31	закрывать глаза на	1	1
32	в настоящее время	1	1
33	более или менее	1	1
34	хотя и без	1	1
35	чуть ли не	1	1
36	одной стороны и	2	1
37	что из этой	1	1
38	том числе и	1	1
39	в отношении к	5	1
