N	2gram	Medvedev_I_1	Hudozhes
1	и не	2	16
2	и в	1	15
3	а в	1	12
4	в этом	2	11
5	отношению к	1	10
6	так и	1	10
7	по отношению	1	10
8	себя в	1	8
9	с другой	1	7
10	что в	2	6
11	в основе	1	6
12	художественного творчества	1	5
13	того что	1	5
14	другой стороны	1	5
15	а также	1	5
16	говорить о	1	4
17	для него	1	4
18	он не	2	4
19	того же	1	3
20	в художественном	1	3
21	в целом	1	3
22	автора и	1	3
23	не случайно	1	3
24	если бы	1	3
25	все эти	1	2
26	в значительной	1	2
27	такого знания	1	2
28	того чтобы	1	2
29	и о	1	2
30	для того	1	2
31	а с	1	2
32	в них	1	2
33	я не	1	2
34	и сам	1	2
35	и др	1	2
36	произведения это	1	1
37	бы в	1	1
38	о ней	1	1
39	на котором	1	1
40	первую очередь	1	1
41	жизни и	1	1
42	от этого	1	1
43	ибо и	1	1
44	и со	1	1
45	в первую	1	1
46	и без	1	1
47	то и	1	1
48	не дает	1	1
49	со всеми	1	1
50	без этого	1	1
51	а для	1	1
52	более чем	1	1
53	что для	1	1
54	этим и	1	1
55	с героем	1	1
56	о жизни	1	1
57	никогда не	1	1
58	все это	1	1
59	его личности	1	1
60	это было	1	1
61	по поводу	1	1
62	а по	1	1
63	точно и	1	1
64	должен быть	2	1
65	этого писателя	1	1
66	для других	1	1
67	то она	1	1
68	только для	1	1
69	и чрезвычайно	1	1
