N	3gram	Nazirov_Tv_1	Psycholo
1	и т п	2	15
2	в том что	6	9
3	и т д	1	8
4	о том что	5	7
5	заключается в том	1	6
6	с одной стороны	1	5
7	с другой стороны	1	5
8	как и в	1	4
9	мы никогда не	1	4
10	точно так же	2	3
11	в конце концов	1	3
12	до сих пор	1	3
13	в отличие от	1	3
14	в конечном счете	4	3
15	что у него	1	3
16	на самом деле	2	2
17	по себе а	1	2
18	не означает что	1	2
19	то же самое	1	2
20	в настоящее время	1	2
21	и в самом	1	2
22	вместе с тем	1	2
23	хотя и не	1	2
24	тем не менее	2	2
25	та же самая	2	2
26	в том же	1	1
27	дело в том	3	1
28	полном согласии с	1	1
29	в этой области	1	1
30	но даже в	1	1
31	при этом она	1	1
32	в полном согласии	1	1
33	можно сказать что	2	1
34	в этом романе	2	1
35	один из самых	1	1
36	война и мир	1	1
37	отметить что в	1	1
38	а может быть	1	1
39	к тому же	1	1
40	мы все время	1	1
41	дело не в	1	1
42	и по самому	1	1
43	это имеет место	1	1
44	в его произведении	1	1
45	с самого начала	3	1
46	и того же	1	1
47	что в каждом	1	1
48	бросается в глаза	1	1
49	бы и в	1	1
50	как к объекту	1	1
51	в прямом смысле	1	1
52	но она не	1	1
53	могут быть названы	1	1
54	не что иное	1	1
55	он не может	1	1
56	он создает себе	1	1
57	в основе всех	1	1
58	и тем не	1	1
59	не только в	2	1
60	в согласии с	1	1
61	и учение о	1	1
62	одного и того	1	1
63	то что в	1	1
64	из внешних условий	1	1
65	только то что	1	1
66	не могут быть	1	1
67	формы в то	1	1
68	в связи с	1	1
69	что иное как	1	1
70	в известном смысле	1	1
71	еще далеко не	1	1
72	у него в	1	1
73	сами по себе	1	1
74	заключает в себе	1	1
75	при этом он	2	1
76	имел в виду	1	1
77	не может не	1	1
78	у него есть	1	1
79	а вместе с	1	1
80	ту или иную	1	1
81	с там же	2	1
82	в свою очередь	1	1
83	традиционное представление о	1	1
84	и вследствие этого	1	1
85	не то что	1	1
