N	4gram	Berdyaev_V_1	Mirosoze
1	и вместе с тем	1	4
2	в легенде о великом	1	2
3	и уж конечно не	1	2
4	возжелал свободной любви человека	1	2
5	легенде о великом инквизиторе	1	2
6	чего бы это ни	1	1
7	любви человека чтобы свободно	1	1
8	свобода их веры тебе	1	1
9	любовь к человеку не	1	1
10	должно быть от веры	1	1
11	чтобы свободно пошел он	1	1
12	бы это ни стоило	1	1
13	веры тебе была дороже	1	1
14	свободно пошел он за	1	1
15	человека чтобы свободно пошел	1	1
16	это не было еще	1	1
17	и есть то что	1	1
18	тебе была дороже всего	1	1
19	свободной любви человека чтобы	1	1
20	чудо должно быть от	1	1
21	говорит великий инквизитор христу	1	1
22	их веры тебе была	1	1
23	это ни стоило и	1	1
24	кто знает может быть	1	1
25	во имя счастья людей	1	1
