N	4gram	Voloshinov_1	DiskursI
1	в то же время	1	3
2	с одной стороны и	2	2
3	в том что в	1	2
4	в науке о литературе	1	2
5	одно и то же	2	1
6	одному и тому же	1	1
7	не может быть ни	1	1
8	ком или о чем	1	1
9	о чем говорят героя	1	1
10	мы имеем дело с	1	1
11	продукт социального взаимодействия трех	1	1
12	читателя и того о	1	1
13	одним и тем же	1	1
14	или о чем говорят	1	1
15	говорит о том что	1	1
16	и не может быть	1	1
17	взаимодействия трех говорящего автора	1	1
18	того о ком или	1	1
19	о ком или о	1	1
20	дело в том что	4	1
21	и того о ком	1	1
22	социального взаимодействия трех говорящего	1	1
