1	и в	2	18
2	в этом	1	14
3	и его	1	13
4	в частности	1	12
5	том что	2	12
6	и не	1	12
7	в том	2	9
8	в их	1	6
9	в самом	1	5
10	в конце	2	5
11	по крайней	1	4
12	столь же	1	4
13	крайней мере	1	4
14	далеко не	1	4
15	то же	1	3
16	к этому	1	3
17	так в	1	3
18	именно в	1	3
19	по поводу	1	3
20	все это	1	3
21	сводится к	1	2
22	дело в	1	2
23	да и	1	2
24	гораздо более	1	2
25	и т.д	1	2
26	только в	1	2
27	в значительной	1	2
28	значительной степени	1	2
29	самом деле	1	2
30	более чем	1	2
31	в книге	3	1
32	без учета	1	1
33	я не	1	1
34	их как	1	1
35	тем более	1	1
36	другое дело	1	1
37	здесь достаточно	1	1
38	не будем	1	1
39	в устах	1	1
40	к чему	1	1
41	это далеко	1	1
42	от других	1	1
43	потому что	1	1
44	ново в	1	1
45	книге в	2	1
46	говоря о	1	1
47	время в	1	1
48	но это	1	1
49	в другом	1	1
50	собственно и	1	1
51	этом и	1	1
52	хотя бы	1	1
53	ведь это	1	1
54	и только	1	1
