N	3gram	Bakhtin_fo_1	RusskieA
1	в том что	2	15
2	в этот день	1	8
3	том что в	1	6
4	вместе с тем	2	6
5	в этом случае	1	5
6	как мы увидим	1	5
7	о том что	1	4
8	и в других	4	4
9	в связи с	5	4
10	с точки зрения	2	3
11	в это время	1	2
12	к выводу что	1	2
13	но и на	1	2
14	может быть и	2	2
15	друг к другу	2	2
16	в свою очередь	1	2
17	могут быть использованы	1	2
18	но все же	2	2
19	не только на	1	2
20	и у нас	1	2
21	с тем и	1	2
22	по этому вопросу	1	1
23	это не имеет	1	1
24	были связаны с	1	1
25	друг с другом	1	1
26	в одном и	1	1
27	тех случаях когда	1	1
28	еще и в	1	1
29	а следовательно и	1	1
30	и в этом	1	1
31	как и в	2	1
32	мы уже знаем	1	1
33	и в том	1	1
34	один из самых	1	1
35	и в дальнейшем	1	1
36	говорит о том	1	1
37	у него нет	1	1
38	в этом ряду	1	1
39	и т п	8	1
40	с этим в	1	1
41	том же месте	1	1
42	и того же	5	1
43	бросается в глаза	1	1
44	так же как	2	1
45	так как он	1	1
46	с тем что	1	1
47	одном и том	1	1
48	и все другие	2	1
49	и не только	2	1
50	в то время	3	1
51	по отношению к	3	1
52	но вместе с	1	1
53	так как по	1	1
54	в отличие от	2	1
55	не имеет существенного	1	1
56	как мы уже	8	1
57	приходит к выводу	1	1
58	во всяком случае	1	1
59	не только в	2	1
60	в этом отношении	3	1
61	как мы видим	2	1
62	их не знают	1	1
63	имеет существенного значения	1	1
64	и том же	1	1
65	в тех случаях	1	1
66	одного и того	5	1
67	дело не только	1	1
68	и как бы	1	1
69	в виду что	1	1
70	для нас не	1	1
71	же как и	2	1
72	в себе и	1	1
73	в особенности же	1	1
74	на другой день	2	1
75	наряду с этим	2	1
76	кроме того в	1	1
77	смерти и воскресения	1	1
78	во всех этих	1	1
79	в данном случае	1	1
