N	2gram	Voloshinov_1	Komedia
1	и в	3	22
2	и не	1	21
3	если бы	1	8
4	в его	1	8
5	то же	1	7
6	к тому	1	6
7	в то	1	6
8	может быть	1	6
9	же время	1	5
10	связи с	1	5
11	не менее	1	5
12	не только	1	5
13	бы в	1	4
14	точки зрения	1	4
15	но и	1	4
16	нет и	1	4
17	несмотря на	1	4
18	а не	1	4
19	в ней	1	4
20	не может	4	3
21	на месте	1	3
22	с точки	1	3
23	один из	2	3
24	его от	1	2
25	исходя из	1	2
26	себя от	1	2
27	и все	1	2
28	с другими	1	2
29	тому что	1	2
30	и на	1	2
31	может не	1	1
32	из этих	1	1
33	ситуации и	1	1
34	вещей и	1	1
35	бы на	1	1
36	если в	2	1
37	можно назвать	1	1
38	от контекста	1	1
39	в каждом	1	1
40	и тому	1	1
41	мы видим	1	1
42	персонажей и	1	1
43	при сравнении	1	1
44	что изменилось	1	1
45	вторая половина	1	1
46	не из	1	1
47	из контекста	1	1
48	не оказать	1	1
