N	3gram	Tiupa_Narr_1	StatiiOP
1	в том что	5	16
2	о том что	2	11
3	в этом отношении	3	9
4	и т д	1	6
5	для того чтобы	3	5
6	до сих пор	2	5
7	к тому что	1	5
8	дело в том	2	4
9	обращает на себя	3	3
10	с другой стороны	1	3
11	речь идет о	3	3
12	во всяком случае	2	3
13	в самом тексте	1	2
14	но и здесь	1	2
15	в отличие от	2	2
16	но и с	1	2
17	тем не менее	3	2
18	на то что	2	2
19	к тому же	5	2
20	в значительной степени	1	2
21	только потому что	1	2
22	не только с	1	2
23	более или менее	1	2
24	на себя внимание	3	2
25	сами по себе	2	2
26	в этом месте	2	2
27	в самом деле	2	2
28	с точки зрения	1	2
29	но все же	1	2
30	не представляется возможным	1	2
31	бы то ни	1	2
32	то ни было	1	2
33	как раз в	2	2
34	следующее место из	1	1
35	по большей части	3	1
36	с легкой руки	1	1
37	сам по себе	1	1
38	в сущности говоря	1	1
39	в том числе	1	1
40	точно так же	1	1
41	у нее есть	1	1
42	не годится в	1	1
43	не встречается ни	1	1
44	как она была	1	1
45	в ответ на	1	1
46	в известном смысле	2	1
47	имея в виду	1	1
48	по его собственному	1	1
49	что и для	1	1
50	в той же	1	1
51	его собственному признанию	1	1
52	об этом в	1	1
53	и то же	2	1
54	на самом деле	1	1
55	будет зависеть от	1	1
56	внимание на то	2	1
57	по отношению к	3	1
58	вследствие того что	1	1
59	он не может	1	1
60	что он уже	1	1
61	в то же	4	1
62	не могло быть	1	1
63	за все время	1	1
64	и совершенно не	1	1
65	в связи с	2	1
66	то же время	4	1
67	именно в этом	1	1
68	что у него	1	1
69	как мы видели	1	1
70	в зависимости от	2	1
71	следует подчеркнуть что	1	1
72	в свою очередь	2	1
73	в данном случае	8	1
74	к одному из	1	1
75	не то что	1	1
76	одно и то	2	1
77	точки зрения но	1	1
