N	3gram	Nazirov_Vr_1	KulturaY
1	в том что	2	15
2	с точки зрения	2	9
3	с другой стороны	1	6
4	о том что	1	5
5	в этом отношении	1	5
6	по крайней мере	1	5
7	во всяком случае	1	5
8	до сих пор	1	4
9	тем не менее	1	4
10	в этом смысле	1	3
11	в соответствии с	1	3
12	о том как	1	3
13	в связи с	3	3
14	а с другой	1	3
15	в свою очередь	1	3
16	не может быть	2	3
17	на то что	1	2
18	то же время	4	2
19	заключается в том	1	2
20	и в самом	1	2
21	речь идет о	1	2
22	в то же	4	2
23	имеется в виду	1	1
24	но не менее	1	1
25	и в то	1	1
26	это состояло в	1	1
27	всего то что	1	1
28	в письме к	2	1
29	одно и то	1	1
30	в это время	1	1
31	едва ли не	1	1
32	к вопросу о	1	1
33	все равно не	1	1
34	в их отношениях	1	1
35	и то же	1	1
36	уже на пороге	1	1
37	так же как	1	1
38	и все же	5	1
39	что в ней	1	1
40	еще один пример	1	1
41	у целого ряда	1	1
42	лет тому назад	1	1
43	тем более что	1	1
44	целого ряда других	1	1
45	но нас интересует	1	1
46	в литературе и	1	1
47	то что они	1	1
48	что для нас	1	1
49	на этот раз	1	1
50	точно так же	1	1
