N	4gram	Vygotskiy__3	Problema
1	не что иное как	1	3
2	в то время как	4	3
3	в том числе и	1	1
4	в силу того что	2	1
5	с этой точки зрения	2	1
6	с одной стороны он	1	1
7	мы должны сказать что	1	1
8	с другой стороны он	1	1
9	и в этом смысле	1	1
10	одним и тем же	1	1
11	состоит в том что	3	1
12	но тем не менее	1	1
13	и вместе с тем	2	1
14	в связи с этим	1	1
15	можно было бы с	1	1
16	бы то ни было	1	1
17	указывает на то что	1	1
18	как мы увидим ниже	1	1
19	в силу которого он	1	1
20	ни в какой степени	1	1
