N	4gram	Propp_Morf_1	Psycholo
1	одно и то же	1	3
2	состоит в том что	2	2
3	образом мы видим что	3	2
4	к тому что при	1	1
5	до сих пор не	1	1
6	указанием на то что	1	1
7	каждый в отдельности может	1	1
8	видим таким образом что	1	1
9	между тем мы видим	1	1
10	в том что он	1	1
11	мы видим что с	1	1
12	из которых каждый в	1	1
13	таким образом мы видим	3	1
14	то для того чтобы	1	1
15	приводит к тому что	1	1
16	с самого начала в	1	1
17	в собственном смысле слова	3	1
18	но для наших целей	1	1
19	на то что в	1	1
20	которых каждый в отдельности	1	1
21	для наших целей это	1	1
22	мы видим таким образом	1	1
23	в то время как	3	1
