N	4gram	Tiupa_Teor_1	Marksizm
1	в то же время	5	8
2	но в то же	1	5
3	бы то ни было	1	4
4	одного и того же	3	4
5	одно и то же	1	3
6	в той или иной	1	3
7	ни в коем случае	2	2
8	не может быть и	1	2
9	языка не может быть	1	1
10	то же время эти	1	1
11	более или менее широком	1	1
12	в более или менее	1	1
13	в том числе и	1	1
14	бы они ни были	1	1
15	приводит к тому что	2	1
16	– не может быть	1	1
17	не что иное как	1	1
18	ни к чему не	1	1
19	дело в том что	1	1
20	в отношении к нему	1	1
21	в коем случае не	2	1
