N	4gram	Tiupa_Vved_1	slovoVRo
1	в то же время	3	4
2	с одной стороны и	1	3
3	в той или иной	1	3
4	той или иной степени	1	3
5	своего и чужого слова	2	2
6	разноречивое становление кишащее будущими	1	1
7	более или менее удачливыми	1	1
8	языковыми аристократами языковыми парвеню	1	1
9	и борьба своего и	1	1
10	в том числе и	1	1
11	с большей или меньшей	1	1
12	и в то же	1	1
13	меньшей широтою социального охвата	1	1
14	и бывшими языками отмирающими	1	1
15	парвеню бесчисленными претендентами в	1	1
16	языковыми парвеню бесчисленными претендентами	1	1
17	каждого высказывания происходит напряженное	1	1
18	будущими и бывшими языками	1	1
19	территории почти каждого высказывания	1	1
20	большей или меньшей широтою	1	1
21	в языки более или	1	1
22	на территории почти каждого	1	1
23	или иной идеологической сферой	1	1
24	становление кишащее будущими и	1	1
25	реален язык как разноречивое	1	1
26	или менее удачливыми с	1	1
27	бесчисленными претендентами в языки	1	1
28	языки более или менее	1	1
29	бывшими языками отмирающими чопорными	1	1
30	широтою социального охвата с	1	1
31	языками отмирающими чопорными языковыми	1	1
32	аристократами языковыми парвеню бесчисленными	1	1
33	с той или иной	1	1
34	чтобы проникнуть в его	1	1
35	борьба своего и чужого	1	1
36	высказывания происходит напряженное взаимодействие	1	1
37	или меньшей широтою социального	1	1
38	кишащее будущими и бывшими	1	1
39	иной идеологической сферой применения	1	1
40	как разноречивое становление кишащее	1	1
41	социального охвата с той	1	1
42	исторически реален язык как	1	1
43	происходит напряженное взаимодействие и	1	1
44	охвата с той или	1	1
45	чопорными языковыми аристократами языковыми	1	1
46	напряженное взаимодействие и борьба	1	1
47	почти каждого высказывания происходит	1	1
48	взаимодействие и борьба своего	1	1
49	язык как разноречивое становление	1	1
50	менее удачливыми с большей	1	1
51	той или иной идеологической	1	1
52	отмирающими чопорными языковыми аристократами	1	1
53	удачливыми с большей или	1	1
54	претендентами в языки более	1	1
55	в окружающем его мире	1	1
