N	3gram	Medvedev_U_1	KulturaY
1	в том что	2	15
2	в самом деле	2	7
3	с другой стороны	3	6
4	в этом отношении	2	5
5	по крайней мере	2	5
6	до сих пор	2	4
7	не в том	1	4
8	в этом смысле	2	3
9	более или менее	1	3
10	не может быть	4	3
11	так или иначе	1	2
12	в то же	3	2
13	в первую очередь	1	2
14	смысле этого термина	2	2
15	на то что	1	2
16	в этом случае	1	2
17	хотя бы и	2	2
18	в сторону от	1	2
19	то же время	3	2
20	с одной стороны	1	1
21	только одним из	1	1
22	язык в его	1	1
23	то что еще	1	1
24	и в то	1	1
25	является с одной	1	1
26	что он называет	1	1
27	тех или иных	2	1
28	имеем в виду	1	1
29	на своем месте	1	1
30	с тем что	1	1
31	в которых слово	1	1
32	которые могли бы	1	1
33	не только в	1	1
34	или иначе связанные	1	1
35	все же остается	1	1
36	она все же	1	1
37	мы имеем в	1	1
38	еще один пример	1	1
39	не случайно и	1	1
40	сводится к следующему	1	1
41	как раз обратное	1	1
42	иначе связанные с	1	1
43	но что такое	1	1
44	само по себе	1	1
45	но прежде всего	1	1
46	же в самом	1	1
47	том что она	1	1
48	это было бы	1	1
49	в противном случае	2	1
