N	4gram	Bakhtin_sl_1	FransuaR
1	в то же время	12	10
2	и в то же	5	5
3	в большей или меньшей	3	3
4	большей или меньшей степени	3	3
5	и в особенности на	2	2
6	но в то же	4	2
7	ни с одним из	1	2
8	дело в том что	1	2
9	в основе их лежат	1	1
10	на самом же деле	1	1
11	в результате этой работы	1	1
12	бы то ни было	1	1
13	какая бы то ни	1	1
14	как мы уже сказали	2	1
15	жизни слова в романе	1	1
16	бы оно ни было	1	1
17	как бы ни был	1	1
18	никогда не может быть	1	1
19	автора к языку и	1	1
20	то же время этот	1	1
21	в той или иной	9	1
22	все эти слова и	1	1
23	зрения на мир и	1	1
24	в нем до конца	1	1
25	то же время в	1	1
26	можно прямо сказать что	1	1
27	стилистической жизни слова в	1	1
28	той или иной степени	9	1
29	и до наших дней	1	1
30	интерес к диалектам и	1	1
31	в большинстве случаев не	1	1
32	сложнее обстоит дело с	1	1
