N	4gram	Tiupa_Hudo_1	Marksizm
1	в то же время	5	8
2	бы то ни было	1	4
3	одного и того же	2	4
4	одно и то же	3	3
5	в той или иной	2	3
6	ни в коем случае	2	2
7	не может быть и	1	2
8	в том что он	1	2
9	в таком случае это	1	2
10	языка не может быть	1	1
11	более или менее широком	1	1
12	в более или менее	1	1
13	по отношению к нему	1	1
14	в том числе и	1	1
15	бы они ни были	1	1
16	приводит к тому что	2	1
17	той или иной форме	1	1
18	не что иное как	1	1
19	в их отношении к	1	1
20	ни к чему не	1	1
21	в отношении к нему	1	1
22	в коем случае не	2	1
23	то же время они	1	1
