N	3gram	Nazirov_Vr_1	Psycholo
1	в том что	2	9
2	на то что	1	8
3	не может быть	2	8
4	о том что	1	7
5	заключается в том	1	6
6	во всяком случае	1	6
7	с другой стороны	1	5
8	в то время	1	5
9	так же как	1	4
10	точно так же	1	3
11	в конце концов	1	3
12	до сих пор	1	3
13	не только не	1	3
14	что у него	1	3
15	в этом смысле	1	2
16	он не только	2	2
17	то что я	1	2
18	в этом отношении	1	2
19	и в самом	1	2
20	не было бы	1	2
21	с точки зрения	2	2
22	тем не менее	1	2
23	в том же	1	1
24	это и есть	1	1
25	только при помощи	1	1
26	а следовательно и	1	1
27	в это время	1	1
28	а также в	1	1
29	и в этом	1	1
30	речь идет не	1	1
31	едва ли не	1	1
32	независимо от того	1	1
33	и то же	1	1
34	как бы в	1	1
35	и то что	1	1
36	речь идет о	1	1
37	одно и то	1	1
38	я не знаю	1	1
39	в связи с	3	1
40	в известном смысле	1	1
41	мы знаем о	1	1
42	у него в	1	1
43	на этот раз	1	1
44	что в этой	1	1
45	при этом он	1	1
46	имел в виду	3	1
47	в страшной мести	1	1
48	в свою очередь	1	1
49	что я хотел	1	1
