N	4gram	Medvedev_F_3	FransuaR
1	в то же время	7	8
2	и в то же	2	4
3	начала и до конца	1	3
4	с начала и до	1	3
5	в том числе и	1	2
6	один и тот же	1	2
7	на самом же деле	2	2
8	и не может быть	3	1
9	мы можем сказать что	1	1
10	с другой стороны в	1	1
11	не значит конечно что	1	1
12	же как мы знаем	1	1
13	мы уже указывали на	1	1
14	одного и того же	1	1
15	на самом деле он	1	1
16	мы уже знаем что	2	1
17	в этом же смысле	1	1
18	это не значит конечно	1	1
19	его в конце концов	1	1
20	нет и не может	2	1
21	дело в том что	1	1
22	это достигается тем что	1	1
