N	3gram	Berdyaev_V_1	Hudozhes
1	в том что	2	11
2	к тому что	3	4
3	как и в	1	3
4	а между тем	2	3
5	и в этом	1	2
6	хотя бы и	1	2
7	и т д	2	2
8	во что бы	1	1
9	о которой так	1	1
10	и не было	1	1
11	что я не	1	1
12	бы то ни	1	1
13	в духе так	1	1
14	что бы то	1	1
15	на этом пути	1	1
16	то ни стало	1	1
17	то и другое	1	1
18	и то и	1	1
19	и в жизни	1	1
20	после того как	1	1
21	но все же	1	1
22	которым можно было	2	1
23	и над ними	2	1
24	человека в его	1	1
25	всего что было	1	1
26	с другой стороны	1	1
27	что нет у	1	1
28	и не случайно	1	1
29	то что я	2	1
30	в человеке и	1	1
31	как бы в	1	1
32	не можешь и	1	1
33	в жизни и	1	1
