N	3gram	Medvedev_V_1	Formalny
1	в самом деле	1	5
2	в значительной степени	1	3
3	в том что	2	2
4	в конце концов	2	2
5	в шкловского в	1	2
6	и способами ее	1	1
7	слово вещь и	1	1
8	вещь и изменяется	1	1
9	то я интересуюсь	1	1
10	языка если провести	1	1
11	только номерами пряжи	1	1
12	находится под влиянием	1	1
13	словесным законам связанным	1	1
14	в теории литературы	1	1
15	физиологией речи и	1	1
16	я занимаюсь в	1	1
17	именно в этом	1	1
18	связанным с физиологией	1	1
19	теории литературы исследованием	1	1
20	исследованием внутренних законов	1	1
21	занимаюсь в теории	1	1
22	не положением мирового	1	1
23	главным образом из	1	1
24	законам связанным с	1	1
25	под влиянием социальных	1	1
26	его языка если	1	1
27	политикой трестов а	1	1
28	номерами пряжи и	1	1
29	заводскую параллель то	1	1
30	рынка не политикой	1	1
31	влиянием социальных отношений	1	1
32	способами ее ткать	1	1
33	провести заводскую параллель	1	1
34	с физиологией речи	1	1
35	интересуюсь не положением	1	1
36	не политикой трестов	1	1
37	по своим словесным	1	1
38	трестов а только	1	1
39	пряжи и способами	1	1
40	слово по своим	1	1
41	и изменяется слово	1	1
42	если провести заводскую	1	1
43	я интересуюсь не	1	1
44	что язык находится	1	1
45	своим словесным законам	1	1
46	язык находится под	1	1
47	внутренних законов его	1	1
48	а только номерами	1	1
49	значительной степени уже	1	1
50	изменяется слово по	1	1
51	параллель то я	1	1
52	законов его языка	1	1
53	литературы исследованием внутренних	1	1
54	по крайней мере	1	1
