N	3gram	Nazirov_Tr_1	Narrotol
1	в данном случае	2	8
2	в том что	2	5
3	в то же	5	4
4	то же время	5	4
5	не может быть	1	4
6	тем не менее	1	3
7	о том что	2	2
8	в самом деле	1	2
9	но и на	1	2
10	в отличие от	2	2
11	в связи с	1	2
12	и все же	1	2
13	может быть не	1	2
14	во всяком случае	1	2
15	об этом свидетельствует	1	1
16	а стало быть	1	1
17	сменяющие друг друга	1	1
18	сам по себе	1	1
19	в этой связи	1	1
20	а на другой	1	1
21	в себе ее	1	1
22	точно так же	2	1
23	у него нет	1	1
24	в той же	1	1
25	к тому что	1	1
26	как и в	1	1
27	и не может	1	1
28	бросается в глаза	2	1
29	и то что	1	1
30	связаны между собой	1	1
31	и в самом	2	1
32	еще в году	1	1
33	об этом прямо	1	1
34	но все же	2	1
35	и как бы	2	1
36	но при этом	1	1
37	как и все	1	1
38	не исключено что	1	1
39	него нет своего	1	1
