N	2gram	Medvedev_I_1	Myshleni
1	в этом	2	25
2	того чтобы	1	17
3	и в	1	16
4	что в	2	16
5	того что	1	16
6	понятий и	1	15
7	для того	1	14
8	отношению к	1	12
9	по отношению	1	12
10	и не	2	12
11	в основе	1	8
12	если бы	1	8
13	он не	2	8
14	того же	1	7
15	так и	1	7
16	для него	1	5
17	только что	1	5
18	ничего не	2	5
19	никогда не	1	5
20	тем что	1	5
21	все эти	1	4
22	бы в	1	4
23	в целом	1	4
24	с другой	1	4
25	и с	3	3
26	говорить о	1	3
27	и тот	1	3
28	а в	1	3
29	по существу	1	3
30	в них	1	2
31	жизни и	1	2
32	все это	1	2
33	то и	1	2
34	со всеми	1	2
35	что для	1	2
36	не дает	1	2
37	а с	1	2
38	по поводу	1	2
39	очевидно что	1	2
40	другой стороны	1	2
41	я не	1	2
42	только для	1	2
43	в первую	1	1
44	доказательство того	1	1
45	же это	1	1
46	и ничего	1	1
47	бы что	2	1
48	дает и	1	1
49	не так	1	1
50	на котором	1	1
51	первую очередь	1	1
52	своего исследования	1	1
53	без этого	1	1
54	не утверждал	2	1
55	более чем	1	1
56	следовательно в	1	1
57	нисколько не	1	1
58	что при	1	1
59	и о	1	1
60	следующим образом	1	1
61	нее и	1	1
62	и дети	1	1
63	это было	1	1
64	как только	1	1
65	себя в	1	1
66	от нее	1	1
67	есть только	1	1
68	а если	1	1
69	так то	1	1
