1	потому что	1	25
2	и в	2	23
3	в том	2	19
4	в этом	1	18
5	и не	1	16
6	ни к	1	15
7	так как	1	15
8	в самом	1	12
9	том что	2	11
10	самом деле	1	9
11	хотя бы	1	9
12	по крайней	1	6
13	да и	1	6
14	то же	1	6
15	крайней мере	1	6
16	я не	1	5
17	все это	1	5
18	и то	1	5
19	по существу	1	5
20	ясно что	1	5
21	речи и	1	5
22	только в	1	5
23	к этому	1	4
24	в конце	2	4
25	сводится к	1	3
26	а только	1	3
27	и его	1	3
28	гораздо более	1	3
29	так в	1	3
30	конце концов	2	3
31	что слово	1	3
32	именно в	1	3
33	главным образом	1	3
34	но это	1	3
35	все дело	1	2
36	в частности	1	2
37	по поводу	1	2
38	не хочу	1	2
39	в устах	1	2
40	в их	1	2
41	в другом	1	2
42	в которых	1	2
43	сводится в	1	2
44	стоило бы	1	1
45	одном и	1	1
46	далеко не	1	1
47	в книге	3	1
48	что язык	1	1
49	совершенно ясно	1	1
50	и том	1	1
51	время в	1	1
52	дело в	1	1
53	один пример	1	1
54	с большой	1	1
55	их как	1	1
56	тем более	1	1
57	бы уже	1	1
58	не даром	1	1
59	не играет	1	1
60	и составляет	1	1
61	бы потому	1	1
62	стилистики в	1	1
63	с о	1	1
64	ведь это	1	1
65	не стоило	1	1
66	столь же	1	1
67	дело именно	1	1
68	не хотел	1	1
69	и самым	1	1
70	более чем	1	1
71	к чему	1	1
72	хочу сказать	1	1
73	в значительной	1	1
74	значительной степени	1	1
75	слово по	1	1
76	с несколько	1	1
77	и только	1	1
78	том же	1	1
