N	3gram	Medvedev_S_1	KulturaY
1	в том что	2	15
2	по отношению к	2	8
3	во всяком случае	1	5
4	по крайней мере	1	5
5	не в том	2	4
6	о том как	1	3
7	а с другой	1	3
8	в связи с	1	3
9	а в том	1	2
10	в то же	1	2
11	что в них	1	2
12	чуть ли не	1	2
13	то же время	1	2
14	именно в том	1	2
15	в том и	1	2
16	с одной стороны	1	1
17	что все это	1	1
18	в его системе	1	1
19	отношению к которому	1	1
20	и в то	1	1
21	связь между ними	1	1
22	дело не в	2	1
23	все это как	1	1
24	в настоящее время	1	1
25	этот основной вопрос	1	1
26	пришлось бы в	1	1
27	с ним все	1	1
28	в наше время	1	1
29	по существу это	1	1
30	друг от друга	1	1
31	далеко еще не	1	1
32	в противном случае	1	1
