N	3gram	Medvedev_S_1	Vvedenie
1	в том что	2	12
2	в то же	1	6
3	то же время	1	6
4	с одной стороны	1	4
5	и в этом	1	4
6	во всяком случае	1	4
7	по отношению к	2	4
8	по крайней мере	1	4
9	сама по себе	1	3
10	в конце концов	2	2
11	в связи с	1	2
12	не в том	2	2
13	между тем именно	1	2
14	то же самое	1	2
15	общие законы развития	1	1
16	а в том	1	1
17	это как будто	1	1
18	между ними в	1	1
19	но ведь это	2	1
20	а между тем	1	1
21	все же это	1	1
22	но одно дело	1	1
23	в настоящее время	1	1
24	в каждом своем	1	1
25	только в этом	2	1
26	не было бы	1	1
27	не может не	1	1
28	в лучшем случае	1	1
29	только то что	1	1
