N	3gram	Trubetskoy_1	Istorich
1	с другой стороны	1	8
2	с одной стороны	7	7
3	вместе с тем	8	6
4	о том что	4	4
5	в связи с	3	4
6	но все же	4	4
7	мы видим что	1	4
8	тем не менее	3	4
9	так же как	3	3
10	но вместе с	2	3
11	для того чтобы	5	3
12	после того как	1	3
13	не может быть	1	3
14	о том как	1	2
15	друг с другом	5	2
16	мы видели что	1	2
17	имеется и в	1	2
18	что и в	1	2
19	в том что	3	2
20	по отношению к	1	2
21	на то что	2	2
22	представление о превращении	1	2
23	и вместе с	4	2
24	в данном случае	1	2
25	и таким образом	3	2
26	с представлением о	1	2
27	до сих пор	5	2
28	в индии в	1	2
29	не только для	2	1
30	может быть в	1	1
31	ни на какие	1	1
32	в то же	2	1
33	в том числе	5	1
34	но не всегда	1	1
35	и потому что	2	1
36	точно так же	3	1
37	этой точки зрения	2	1
38	мы уже говорили	1	1
39	и не потому	1	1
40	мы должны прежде	1	1
41	можно сказать что	2	1
42	но и для	2	1
43	должны прежде всего	1	1
44	с самого начала	2	1
45	еще и потому	1	1
46	и в индии	1	1
47	указывает на то	1	1
48	потому что в	1	1
49	свидетельствует о том	1	1
50	ясно что все	1	1
51	иметь в виду	1	1
52	есть ли это	1	1
53	а с точки	1	1
54	в соответствии с	1	1
55	совершенно так же	1	1
56	мы знаем о	1	1
57	главным образом в	3	1
58	с тем что	1	1
59	к тем же	1	1
60	с этим и	1	1
61	в то время	1	1
62	что мы знаем	1	1
63	и только тогда	1	1
64	таким образом в	2	1
65	в самом деле	1	1
66	то же время	2	1
67	из которых является	1	1
68	на задний план	1	1
69	вместе с другими	1	1
70	только тогда когда	1	1
71	том числе и	4	1
72	с точки зрения	6	1
73	но тем не	1	1
74	на голове и	1	1
75	в отличие от	1	1
76	не в том	1	1
77	то что он	2	1
78	есть как бы	2	1
79	во всяком случае	6	1
80	в свою очередь	1	1
81	и что он	1	1
82	с этой точки	2	1
83	состоит в том	1	1
84	после смерти и	1	1
