N	4gram	Vinokur_St_2	KulturaY
1	в то же время	1	3
2	точно так же как	1	2
3	не говоря уже о	1	2
4	и т п в	1	2
5	уже о том что	1	1
6	достаточно для того чтобы	2	1
7	заключается в том что	1	1
8	мере в какой они	1	1
9	иметь в виду что	1	1
10	дело не в том	1	1
11	в зависимости от степени	1	1
12	только потому что они	1	1
13	дело в том что	4	1
14	то обстоятельство что в	1	1
15	только потому что оно	1	1
16	было бы отрицать что	1	1
17	той мере в какой	2	1
18	бы то ни было	2	1
19	говоря уже о том	1	1
20	и в том что	1	1
21	в той мере в	2	1
22	именно то обстоятельство что	1	1
