N	4gram	Losev_Dial_2	formyVre
1	в то же время	3	6
2	и в то же	1	4
3	одно и то же	4	3
4	и то же время	1	3
5	в одно и то	1	3
6	с одной стороны и	1	2
7	времени и пространства в	1	2
8	одних и тех же	1	2
9	как мы уже сказали	1	2
10	в связи с этим	1	2
11	так же как и	1	2
12	в то время как	3	2
13	как мы это уже	1	1
14	не вызывает никаких сомнений	1	1
15	и может быть только	1	1
16	все более и более	1	1
17	в жизни и в	1	1
18	времени и пространства и	1	1
19	в широком смысле но	1	1
20	и до сих пор	1	1
21	ни с чем не	1	1
