N	3gram	Kanaev_Sov_1	Psycholo
1	в том что	1	17
2	в самом деле	1	11
3	с точки зрения	5	10
4	не может быть	4	8
5	то же самое	2	6
6	до сих пор	1	5
7	на самом деле	1	5
8	одной и той	1	4
9	в том случае	1	4
10	мы знаем что	1	4
11	так же как	1	4
12	можно было бы	1	4
13	и той же	1	4
14	тем не менее	2	4
15	в данном случае	1	4
16	сами по себе	1	3
17	в конечном счете	1	3
18	в этой области	1	2
19	это значит что	1	2
20	представление о том	1	2
21	заключает в себе	1	2
22	одни и те	1	2
23	же самое что	1	2
24	в то же	1	2
25	которая не может	1	2
26	то же время	1	2
27	бы то ни	1	2
28	и не может	1	2
29	мы видим что	1	2
30	на этот вопрос	1	2
31	не в том	1	2
32	и те же	1	2
33	все более и	1	2
34	во всяком случае	2	2
35	в свою очередь	2	2
36	таким образом все	1	2
37	более и более	1	2
38	с одной стороны	1	1
39	и тот же	1	1
40	следующим образом если	1	1
41	с самого начала	3	1
42	в этом смысле	1	1
43	те или иные	1	1
44	до наших дней	1	1
45	только один смысл	1	1
46	самому своему существу	1	1
47	друг с другом	2	1
48	в одном случае	1	1
49	тот факт что	1	1
50	было бы так	1	1
51	и во всех	1	1
52	и все время	1	1
53	один и тот	1	1
54	все же мы	1	1
55	не только ничего	1	1
56	ясно что при	1	1
57	то ни было	1	1
58	в отличие от	2	1
59	и всегда мы	1	1
60	нуждаются в объяснении	1	1
61	ли он в	1	1
62	таким образом из	1	1
63	в этом случае	1	1
64	так как он	2	1
65	красивое оперение птиц	1	1
66	только ничего не	1	1
67	он может быть	1	1
68	по крайней мере	1	1
69	и та же	1	1
70	который как бы	1	1
71	и может быть	1	1
72	в зависимости от	4	1
73	и ничего не	1	1
74	точки зрения и	1	1
75	не что иное	1	1
76	и что следовательно	1	1
77	не было бы	1	1
78	к одному и	1	1
79	не могут быть	1	1
80	с помощью которых	2	1
81	в связи с	1	1
82	имеет только один	1	1
83	что иное как	1	1
84	поэтому что с	1	1
85	есть не что	1	1
86	в свое время	1	1
87	по аналогии с	1	1
88	одна и та	1	1
89	в том как	1	1
90	верно ли это	1	1
91	той же природы	1	1
92	дело идет о	1	1
93	а не только	1	1
94	по самому своему	1	1
