1	и не	1	23
2	в частности	1	14
3	в этом	1	12
4	только в	1	12
5	и в	2	11
6	и его	1	10
7	то же	1	8
8	в том	2	8
9	том что	2	7
10	в самом	1	6
11	и т.д	1	6
12	столь же	1	5
13	потому что	1	5
14	так в	1	4
15	этом и	1	4
16	сводится к	1	3
17	именно в	1	3
18	к чему	1	3
19	и то	1	3
20	самом деле	1	3
21	дело в	1	2
22	да и	1	2
23	в конце	2	2
24	и составляет	1	2
25	для них	1	2
26	одно и	1	2
27	по своим	1	2
28	хотя бы	1	2
29	и только	1	2
30	далеко не	1	1
31	в книге	3	1
32	то я	1	1
33	по крайней	1	1
34	даже не	1	1
35	а только	1	1
36	все это	1	1
37	их как	1	1
38	к этому	1	1
39	здесь достаточно	1	1
40	в значительной	1	1
41	по поводу	1	1
42	что слово	1	1
43	тем более	1	1
44	все время	1	1
45	ясно что	1	1
46	от других	1	1
47	в их	1	1
48	значительной степени	1	1
49	речи и	1	1
50	говоря о	1	1
51	главным образом	1	1
52	значит и	1	1
53	но это	1	1
54	в другом	1	1
55	собственно и	1	1
56	на одном	1	1
57	крайней мере	1	1
58	в которых	1	1
59	сколь и	1	1
60	так как	1	1
