N	3gram	Losev_Vlad_1	UchenyiS
1	не может быть	3	4
2	в этой области	1	3
3	в то же	4	3
4	бы то ни	1	3
5	то же время	4	3
6	с другой стороны	3	3
7	то ни было	1	3
8	в этом смысле	4	2
9	и то что	4	2
10	в этом отношении	1	2
11	но даже и	2	2
12	и в частности	2	2
13	в самом деле	1	2
14	в конце концов	3	2
15	в том что	7	2
16	так или иначе	1	1
17	в значительной мере	1	1
18	с одной стороны	1	1
19	на то что	4	1
20	в которой все	1	1
21	для тех кто	1	1
22	более или менее	3	1
23	не только в	2	1
24	что мы и	1	1
25	и в конце	1	1
26	и в то	2	1
27	но в то	1	1
28	можно сказать что	2	1
29	в последние годы	1	1
30	но это не	1	1
31	на первый план	2	1
32	выдвигает на первый	1	1
33	по существу то	1	1
34	нам представляется что	1	1
35	с тем что	1	1
36	в этой же	1	1
37	но что такое	1	1
38	у него уже	1	1
