N	4gram	Losev_Dial_3	Myshleni
1	одно и то же	2	6
2	одной и той же	1	4
3	с этой точки зрения	2	4
4	так же как и	1	4
5	с одной стороны и	1	2
6	что в основе их	1	2
7	одна и та же	1	1
8	не чем иным как	1	1
9	по одному тому что	2	1
10	в самом деле если	1	1
11	внимание на то что	1	1
12	в том смысле что	1	1
13	не содержит в себе	1	1
14	и не только не	1	1
15	бы то ни было	1	1
16	уже по одному тому	2	1
17	в такой же мере	1	1
18	не говоря уже о	2	1
19	что с точки зрения	1	1
20	обратил внимание на то	1	1
21	в том что в	1	1
22	не что иное как	6	1
23	в то время как	4	1
