N	3gram	Nazirov_Tr_1	Myslijsy
1	в том что	2	7
2	о том что	2	5
3	в этом случае	1	5
4	не может быть	1	5
5	сам по себе	1	4
6	и в этом	1	4
7	и т п	1	4
8	а между тем	1	4
9	тем не менее	1	4
10	и то что	1	4
11	в то же	5	3
12	не только не	1	3
13	то же время	5	3
14	во всяком случае	1	3
15	хотя бы и	1	2
16	и как бы	2	2
17	не могут быть	1	2
18	после того как	1	2
19	что я вижу	1	2
20	в данном случае	2	2
21	с тем и	1	2
22	в одном из	1	1
23	я в то	1	1
24	что все это	1	1
25	с самого начала	1	1
26	так можно выразиться	1	1
27	или как говорит	1	1
28	в той же	1	1
29	смысле этого слова	1	1
30	к тому что	1	1
31	как и в	1	1
32	все это происходит	1	1
33	и не может	1	1
34	бы и в	1	1
35	может быть не	1	1
36	не имеет для	1	1
37	и в самом	2	1
38	в связи с	1	1
39	и вместе с	1	1
40	но при этом	1	1
41	точно так же	2	1
42	в этом состоит	1	1
43	не только о	1	1
44	если так можно	1	1
45	ту же мысль	1	1
46	не только к	1	1
47	в этом мы	1	1
48	имеет в виду	1	1
