N	4gram	Medvedev_V_1	Formalny
1	в то же время	5	7
2	и не может быть	2	3
3	и в то же	3	2
4	нет и не может	1	2
5	как мы знаем не	1	1
6	в искусстве и в	1	1
7	в том числе и	2	1
8	дело не в том	1	1
9	том числе и художественное	1	1
10	в том или ином	1	1
11	с другой стороны в	1	1
12	иметь в виду что	1	1
13	и в искусстве и	1	1
14	с этой точки зрения	1	1
15	не в том что	2	1
16	материала в зависимости от	1	1
17	как это происходит в	1	1
18	не может быть никакого	1	1
19	и по отношению к	1	1
20	говорит о том что	1	1
