N	4gram	Losev_Prob_4	Myshleni
1	заключается в том что	1	4
2	в то время как	2	4
3	так же как и	1	4
4	приходит к выводу что	1	3
5	в том числе и	1	1
6	в том что этот	1	1
7	и с точки зрения	3	1
8	и в то же	1	1
9	одном и том же	1	1
10	какой мере не является	1	1
11	о том что он	1	1
12	то же самое время	2	1
13	или по крайней мере	2	1
14	вместе с тем является	1	1
15	в одном и том	1	1
16	не связанных между собой	1	1
17	в то же самое	2	1
18	что он мыслит себе	1	1
19	что в данном случае	1	1
20	с этой точки зрения	1	1
21	ни в какой мере	4	1
22	сама по себе в	1	1
23	заключается в том чтобы	1	1
24	в том что мы	1	1
25	дело в том что	1	1
26	говорить о том что	1	1
27	в какой мере не	4	1
28	мы должны сказать что	1	1
