N	2gram	Medvedev_I_1	formyVre
1	и в	1	46
2	в этом	2	22
3	и не	2	9
4	для того	1	8
5	того чтобы	1	8
6	жизни и	1	8
7	так и	1	7
8	в них	1	7
9	и с	3	6
10	в основе	1	6
11	никогда не	1	6
12	все это	1	6
13	все эти	1	5
14	он не	2	5
15	и др	1	5
16	по существу	1	5
17	что в	2	5
18	того же	1	3
19	для других	1	3
20	а также	1	3
21	того что	1	3
22	для него	1	3
23	тем что	1	3
24	а в	1	3
25	и идей	1	3
26	говорить о	1	2
27	от этого	1	2
28	автора и	1	2
29	вплоть до	1	2
30	на котором	1	2
31	и о	1	2
32	и та	1	2
33	утверждает что	1	2
34	у всех	1	2
35	со всеми	1	2
36	с другой	1	2
37	только для	1	2
38	эти произведения	1	1
39	о жизни	1	1
40	следующим образом	1	1
41	и тот	1	1
42	в огороде	1	1
43	же это	1	1
44	понятий и	1	1
45	от нее	1	1
46	это было	1	1
47	нисколько не	1	1
48	и еще	1	1
49	стало быть	1	1
50	огороде бузина	1	1
51	в киеве	1	1
52	как только	1	1
53	значительной мере	1	1
54	и сам	1	1
55	если бы	1	1
56	них не	1	1
57	в материале	1	1
58	в значительной	1	1
59	должен быть	2	1
60	себя в	1	1
61	эпизод с	1	1
62	то и	1	1
63	бузина а	1	1
64	после смерти	1	1
65	другой стороны	1	1
66	оба они	2	1
67	тех же	1	1
68	но когда	1	1
69	бы в	1	1
70	и широко	1	1
71	по поводу	1	1
