N	4gram	Medvedev_F_2	Vladivir
1	только в том случае	1	3
2	что бы то ни	1	2
3	и в то же	3	2
4	во что бы то	1	2
5	в том случае если	1	2
6	бы то ни стало	1	2
7	в то же время	5	2
8	как мы знаем в	1	2
9	мы бы сказали не	1	1
10	и то и другое	2	1
11	не что иное как	1	1
12	то во всяком случае	1	1
13	в самом деле ведь	1	1
14	иметь в виду что	1	1
15	то едва ли можно	1	1
16	здесь не может быть	1	1
17	лишь постольку поскольку он	1	1
18	как раз и не	1	1
19	бы сказали не столько	1	1
20	не может быть никаких	1	1
21	в этом отношении он	1	1
22	дать более или менее	1	1
