N	4gram	Losev_Prob_3	EvropaiC
1	отличаются друг от друга	2	3
2	заключается в том что	2	3
3	одного и того же	1	3
4	бы то ни было	3	2
5	одно и то же	3	1
6	даже и при таком	1	1
7	как мы видели выше	1	1
8	тем не менее в	1	1
9	в том виде как	2	1
10	может быть и не	1	1
11	в том или ином	2	1
12	то время как другие	1	1
13	в тех случаях когда	1	1
14	в том что он	1	1
15	но с другой стороны	2	1
16	дело в том что	2	1
17	мы видели выше есть	1	1
18	все дело заключается в	1	1
19	также и то что	4	1
20	во всех этих областях	1	1
21	в то время как	4	1
