N	4gram	Losev_Prob_4	VeschiIm
1	бы то ни было	1	9
2	не что иное как	2	8
3	д и т д	1	7
4	и т д и	1	7
5	т д и т	1	7
6	есть не что иное	2	5
7	это значит что мы	1	3
8	и в то же	1	3
9	можно ли сказать что	1	3
10	заключается в том что	1	2
11	так что в результате	1	2
12	то это значит что	1	2
13	с этой точки зрения	1	2
14	дело в том что	1	2
15	свидетельствует о том что	1	1
16	также и то что	1	1
17	несмотря ни на какие	1	1
18	ни в каком случае	3	1
19	как и во всяком	1	1
20	и больше ничего в	1	1
21	и есть не что	1	1
22	уже по одному этому	2	1
23	и вместе с тем	1	1
24	ничего общего ни с	2	1
25	можно было бы представить	1	1
26	или по крайней мере	2	1
27	в том смысле что	1	1
28	содержит в себе и	2	1
29	заключается не в том	1	1
30	становления и в то	1	1
31	в чем же дело?	1	1
32	или что то же	1	1
33	до сих пор мы	1	1
34	взятый сам по себе	2	1
35	а тем не менее	1	1
36	еще и потому что	1	1
37	пусть хотя бы и	1	1
38	и тем не менее	3	1
39	каких бы то ни	1	1
40	конечно ничто не мешает	1	1
41	это не значит что	1	1
42	только на то что	1	1
43	в то время как	2	1
44	ясно также что это	1	1
45	и уж тем более	1	1
