N	4gram	Voloshinov_1	Myshleni
1	одного и того же	5	4
2	так же как и	2	4
3	взаимно дополняющих друг друга	1	3
4	независимо от того как	1	2
5	с этой точки зрения	1	2
6	одной и той же	2	2
7	бы то ни было	8	1
8	в конце концов к	1	1
9	связи с тем что	1	1
10	в том числе и	2	1
11	случае можно было бы	1	1
12	не выходит за пределы	1	1
13	с их точки зрения	1	1
14	если мы скажем что	1	1
15	и все остальные особенности	1	1
16	как и все остальные	1	1
17	ни в какой степени	1	1
18	это значит что в	1	1
19	связаны между собой и	1	1
20	в связи с тем	1	1
21	с точки зрения ее	1	1
22	какого бы то ни	2	1
23	в тот или иной	1	1
24	в связи с этим	3	1
25	одним и тем же	1	1
26	все более и более	1	1
