N	2gram	Medvedev_V_1	Marksizm
1	и в	2	19
2	и не	1	19
3	и его	1	16
4	то же	1	16
5	в этом	1	15
6	речи и	1	13
7	том что	2	10
8	самом деле	1	9
9	только в	1	8
10	в том	2	7
11	хотя бы	1	6
12	в самом	1	6
13	в их	1	5
14	тем более	1	5
15	к этому	1	5
16	и т.д	1	4
17	одно и	1	3
18	в другом	1	3
19	в устах	1	3
20	да и	1	3
21	столь же	1	3
22	и то	1	3
23	так как	1	3
24	в значительной	1	2
25	все то	1	2
26	крайней мере	1	2
27	далеко не	1	2
28	история языка	1	2
29	все время	1	2
30	ведь это	1	2
31	значительной степени	1	2
32	по крайней	1	2
33	именно в	1	2
34	и почти	1	2
35	сводится к	1	2
36	главным образом	1	1
37	гораздо более	1	1
38	все это	1	1
39	потому что	1	1
40	другом месте	1	1
41	так в	1	1
42	от общего	1	1
43	и только	1	1
44	время в	1	1
45	к чему	1	1
46	но это	1	1
47	что слово	1	1
48	этом и	1	1
49	к созданию	1	1
50	дело в	1	1
51	а только	1	1
52	вся работа	1	1
53	ясно что	1	1
54	по поводу	1	1
55	слово по	1	1
56	это далеко	1	1
57	как же	1	1
58	ни к	1	1
59	деле как	1	1
