N	3gram	Propp_Russ_2	Stilisti
1	для того чтобы	6	7
2	в свою очередь	1	4
3	в этом случае	6	3
4	как мы видели	1	3
5	но и в	1	3
6	как мы уже	1	3
7	о том что	4	2
8	тех случаях когда	1	2
9	мы видели что	4	2
10	что иное как	2	2
11	мы не имеем	1	2
12	можно сказать что	1	2
13	смысле этого слова	1	2
14	на первый взгляд	1	2
15	все то что	1	2
16	не что иное	2	2
17	в тех случаях	1	2
18	вместе с тем	4	2
19	в этом отношении	1	2
20	как мы увидим	1	2
21	с тем и	1	2
22	не может быть	3	2
23	мы не можем	2	1
24	что при этом	1	1
25	вопрос о том	1	1
26	они как бы	1	1
27	только тогда когда	3	1
28	это еще не	1	1
29	в другом месте	1	1
30	всякой связи с	1	1
31	и в этом	1	1
32	мы должны будем	1	1
33	и от этого	1	1
34	влияние и на	1	1
35	это не совсем	1	1
36	главным образом о	1	1
37	было бы говорить	1	1
38	с другой стороны	1	1
39	иметь в виду	1	1
40	но не только	1	1
41	бросается в глаза	2	1
42	в том что	18	1
43	как и вообще	1	1
44	можно было бы	1	1
45	но вместе с	2	1
46	таким образом в	1	1
47	более или менее	1	1
48	в виду что	1	1
49	не только на	1	1
50	не может не	1	1
51	как нет и	1	1
52	эти теории не	1	1
53	так как в	1	1
54	мы уже знаем	1	1
55	у нас на	1	1
56	тем не менее	2	1
57	как и в	1	1
