N	4gram	Potebnia_M_2	Psycholo
1	в то время как	3	5
2	одной и той же	1	3
3	с одной стороны и	1	1
4	одно и то же	2	1
5	а в том как	1	1
6	мы не знаем но	1	1
7	и т д и	1	1
8	одном и том же	1	1
9	один и тот же	1	1
10	вопрос о том что	1	1
11	той мере в какой	1	1
12	не в том что	1	1
13	что само по себе	1	1
14	в том случае если	1	1
15	само по себе не	1	1
16	не заключает в себе	2	1
17	одного и того же	6	1
18	мы не в состоянии	1	1
19	иначе не было бы	1	1
20	состоит в том что	1	1
21	дело в том что	1	1
22	в той мере в	1	1
23	только в обществе и	1	1
