N	2gram	Voloshinov_1	Freidism
1	и не	1	23
2	не может	4	20
3	точки зрения	1	19
4	в его	1	15
5	может быть	1	13
6	с точки	1	11
7	и в	3	9
8	и все	1	8
9	то же	1	8
10	не только	1	8
11	один из	2	7
12	для него	1	6
13	в ней	1	6
14	но и	1	5
15	и на	1	5
16	в то	1	5
17	же время	1	4
18	не менее	1	4
19	из этих	1	4
20	с другими	1	4
21	к тому	1	4
22	подхода к	1	3
23	при анализе	1	3
24	тому что	1	3
25	если бы	1	3
26	тех же	1	2
27	вполне понятно	1	2
28	во второй	1	2
29	мы видим	1	2
30	а не	1	2
31	социального общения	2	2
32	и форму	1	1
33	может и	1	1
34	его от	1	1
35	исходя из	1	1
36	бы в	1	1
37	и социальной	1	1
38	конечно и	1	1
39	понимания этого	1	1
40	в центре	2	1
41	с теми	1	1
42	литературного произведения	1	1
43	на месте	1	1
44	крупнейших представителей	1	1
45	можно назвать	1	1
46	и заставляет	1	1
47	нет и	1	1
48	нуждаются в	1	1
49	влияния на	1	1
50	и истории	1	1
51	он в	1	1
52	права и	1	1
53	или иными	1	1
54	вещей и	1	1
55	первая часть	1	1
56	с самых	1	1
57	превращается у	1	1
58	из крупнейших	1	1
59	русской литературы	1	1
60	и должно	1	1
61	на нее	1	1
62	на примере	1	1
