N	4gram	Losev_Dial_1	Vladivir
1	то это значит что	1	4
2	дело в том что	1	4
3	и в этом смысле	2	3
4	с одной стороны и	2	2
5	не имеет ничего общего	3	2
6	и в то же	2	2
7	имеет ничего общего с	3	2
8	на самом же деле	1	2
9	в то же время	4	2
10	в то время как	1	2
11	и ни в каком	1	1
12	не с точки зрения	2	1
13	до сих пор не	1	1
14	одно и то же	4	1
15	ровно ничего не говорит	2	1
16	так а не иначе	1	1
17	а содержит в себе	1	1
18	и то и другое	2	1
19	не имеет никакого отношения	1	1
20	не что иное как	1	1
21	если иметь в виду	2	1
22	иметь в виду что	1	1
23	да и то не	2	1
24	и тем не менее	1	1
25	имеет никакого отношения к	1	1
26	отчет в том что	1	1
27	никогда не был ни	1	1
28	мы уже знаем что	1	1
29	ни в каком смысле	1	1
