N	2gram	Medvedev_V_1	Problema
1	и в	2	44
2	и не	1	35
3	потому что	1	25
4	в том	2	21
5	только в	1	19
6	в этом	1	17
7	и то	1	14
8	то же	1	13
9	том что	2	12
10	так как	1	9
11	но это	1	8
12	и только	1	6
13	ясно что	1	6
14	крайней мере	1	5
15	гораздо более	1	5
16	в конце	2	5
17	а только	1	5
18	и его	1	5
19	да и	1	5
20	по крайней	1	5
21	все это	1	5
22	дело в	1	4
23	имеется в	1	4
24	одно и	1	3
25	конце концов	2	3
26	хотя бы	1	3
27	значит и	1	3
28	самом деле	1	3
29	в самом	1	3
30	тем более	1	3
31	ни к	1	3
32	в которых	1	3
33	даже не	1	2
34	для них	1	2
35	в их	1	2
36	в другом	1	2
37	что слово	1	2
38	не будем	1	2
39	другое дело	1	2
40	по поводу	1	2
41	именно в	1	2
42	все дело	1	2
43	в частности	1	2
44	по существу	1	2
45	образы которые	1	2
46	то чего	1	2
47	не одно	1	1
48	и самым	1	1
49	отношений но	1	1
50	в теории	1	1
51	не хотел	1	1
52	чего не	1	1
53	все время	1	1
54	заключается что	1	1
55	и заключается	1	1
56	далеко не	1	1
57	и почти	1	1
58	их как	1	1
59	к этому	1	1
