N	4gram	Medvedev_V_1	Istorich
1	в то время как	1	3
2	уже о том что	1	1
3	с одной стороны и	2	1
4	является не чем иным	1	1
5	в этом отношении можно	2	1
6	говоря уже о том	1	1
7	с большей или меньшей	1	1
8	приводит к тому что	1	1
9	которых можно было бы	1	1
10	не чем иным как	1	1
11	число которых можно было	1	1
12	в большей или меньшей	2	1
13	так же как и	1	1
14	достаточно напомнить хотя бы	1	1
15	не говоря уже о	1	1
16	ответ на этот вопрос	1	1
17	в том отношении что	2	1
18	что для того чтобы	1	1
