N	3gram	Kanaev_Sov_1	Morfolog
1	в этом случае	1	9
2	мы видим что	1	9
3	в связи с	1	8
4	не может быть	4	8
5	по отношению к	1	4
6	с точки зрения	5	4
7	тем не менее	2	4
8	не могут быть	1	3
9	на самом деле	1	3
10	но все же	1	3
11	в обоих случаях	1	2
12	оно может быть	1	2
13	в настоящее время	2	2
14	для наших целей	1	2
15	может быть и	2	2
16	с одной стороны	1	2
17	друг на друга	1	2
18	в том что	1	2
19	и может быть	1	1
20	одна из них	1	1
21	он может быть	1	1
22	к чему мы	1	1
23	что иное как	1	1
24	следующим образом если	1	1
25	до сих пор	1	1
26	бы то ни	1	1
27	не будем же	1	1
28	ни одна не	1	1
29	можно было бы	1	1
30	но если мы	1	1
31	в том случае	1	1
32	же в результате	1	1
33	может быть разложена	1	1
34	в данном случае	1	1
35	на этот вопрос	1	1
36	тем же законам	1	1
37	все более и	1	1
38	во всяком случае	2	1
39	могут быть поняты	1	1
40	в целом может	1	1
41	под углом зрения	1	1
42	есть не что	1	1
43	то же время	1	1
44	быть разложена на	1	1
45	в одном случае	1	1
46	те или иные	1	1
47	и что следовательно	1	1
48	с самого начала	3	1
49	это значит что	1	1
50	той или иной	1	1
51	и в начале	1	1
52	в то же	1	1
53	из этих двух	1	1
54	более и более	1	1
55	не что иное	1	1
56	друг с другом	2	1
57	все же в	1	1
