N	2gram	Medvedev_V_1	StatiiOP
1	и в	2	44
2	в том	2	36
3	том что	2	29
4	в этом	1	21
5	и не	1	16
6	самом деле	1	11
7	ясно что	1	10
8	только в	1	10
9	и его	1	8
10	я не	1	7
11	в самом	1	7
12	по поводу	1	7
13	потому что	1	6
14	именно в	1	6
15	дело в	1	6
16	но это	1	6
17	хотя бы	1	6
18	и то	1	5
19	то же	1	5
20	в которых	1	5
21	стр и	1	5
22	так как	1	5
23	все это	1	5
24	столь же	1	4
25	даже не	1	4
26	в частности	1	4
27	тем более	1	4
28	гораздо более	1	4
29	в другом	1	3
30	в конце	2	3
31	не хочу	1	3
32	и только	1	3
33	да и	1	3
34	более чем	1	2
35	другом месте	1	2
36	крайней мере	1	2
37	хочу сказать	1	2
38	но разве	1	2
39	по крайней	1	2
40	по существу	1	2
41	чего не	1	1
42	один пример	1	1
43	о или	1	1
44	время в	1	1
45	а только	1	1
46	не хотел	1	1
47	то я	1	1
48	так в	1	1
49	дело именно	1	1
50	значительной степени	1	1
51	том же	1	1
52	для них	1	1
53	далеко не	1	1
54	г стр	1	1
55	и обработки	1	1
56	не стоило	1	1
57	ведь это	1	1
58	стоило бы	1	1
59	разве это	1	1
60	этом и	1	1
61	другое дело	1	1
62	конце концов	2	1
63	к этому	1	1
