N	4gram	Bakhtin_Fr_1	Marksizm
1	в то же время	1	8
2	но в то же	1	5
3	в той или иной	5	3
4	на самом же деле	3	3
5	и пр и пр	1	3
6	все более и более	1	2
7	той или иной степени	1	2
8	в том что он	1	2
9	и до настоящего времени	1	2
10	на то или иное	1	1
11	за пределы нашей работы	2	1
12	в том числе и	7	1
13	той или иной форме	4	1
14	и до сегодняшнего дня	1	1
15	мы уже говорили что	2	1
16	и не может быть	1	1
17	в узком смысле а	1	1
18	и в том что	2	1
19	или иной форме с	1	1
20	дело в том что	2	1
21	как мы уже сказали	3	1
22	и в большинстве случаев	1	1
