N	4gram	Losev_Prob_4	Narrotol
1	мы имеем дело с	1	2
2	том смысле как мы	1	1
3	и с точки зрения	3	1
4	одной из этих сторон	1	1
5	не что иное как	2	1
6	с этой точки зрения	1	1
7	в том смысле как	1	1
8	здесь мы имеем дело	2	1
9	уж во всяком случае	2	1
10	ни в чем не	1	1
11	и не может существовать	1	1
12	той или иной области	1	1
13	есть не что иное	2	1
14	в той или иной	7	1
15	и в то же	1	1
16	все это свидетельствует о	1	1
17	тип в том смысле	1	1
18	в то время как	2	1
19	свидетельствует о том что	1	1
