1	не имеют ничего общего	1	4
2	одного и того же	5	2
3	прежде чем перейти к	1	2
4	не что иное как	1	2
5	между тем и другим	1	1
6	не чем иным как	1	1
7	имеют ничего общего с	1	1
8	его к тому или	1	1
9	так же как и	4	1
10	внимание на то что	1	1
11	по одному тому что	1	1
12	уже по одному тому	1	1
13	что они указывают на	2	1
14	одно и то же	6	1
15	к тому или иному	2	1
16	не только то что	1	1
17	и во многих других	1	1
18	на то что в	1	1
19	не имеющих ничего общего	1	1
20	как мы видели выше	1	1
21	мы должны сказать что	1	1
22	не говоря уже о	1	1
23	точки зрения логики и	1	1
24	и тем же словом	3	1
25	мы уже указывали выше	1	1
26	в то время как	1	1
27	оно заключается в том	1	1
28	заключается в том что	13	1
29	уже содержит в себе	1	1
30	одним и тем же	3	1
31	и на этот раз	1	1
32	но для того чтобы	1	1
33	мыслью о том что	1	1
34	что в настоящее время	1	1
35	тому или иному предмету	2	1
36	с точки зрения логики	1	1
