N	4gram	Losev_Prob_4	Tvorches
1	в преступлении и наказании	1	3
2	дело в том что	1	3
3	заключается в том что	1	1
4	не значит что он	1	1
5	приходит к мысли о	1	1
6	в войне и мире	1	1
7	резко отличается и от	1	1
8	в то же самое	2	1
9	то же самое время	2	1
10	прошлого настоящего и будущего	1	1
11	мы имеем в виду	1	1
12	и тем не менее	3	1
13	говорить о том что	1	1
14	бы то ни было	1	1
15	в романах достоевского в	1	1
16	мало чем отличается от	1	1
17	и в то же	1	1
18	хотя на самом деле	1	1
19	на самом же деле	2	1
20	каких бы то ни	1	1
21	не что иное как	2	1
22	это не значит что	1	1
23	а вместе с тем	1	1
