N	3gram	Voloshinov_1	Psycholo
1	в том что	1	17
2	для того чтобы	1	13
3	в самом деле	2	11
4	с точки зрения	6	10
5	не может быть	3	8
6	то же самое	1	6
7	на самом деле	4	5
8	до сих пор	3	5
9	в этом отношении	1	5
10	мы знаем что	1	4
11	можно было бы	1	4
12	так же как	2	4
13	в данном случае	1	4
14	о том что	2	4
15	в конечном счете	2	3
16	таким образом и	1	3
17	подобно тому как	1	2
18	по сравнению с	3	2
19	бы то ни	1	2
20	во всяком случае	3	2
21	этой точки зрения	1	2
22	и таким образом	1	2
23	что в этой	1	2
24	и того же	1	1
25	и может быть	2	1
26	и в практике	1	1
27	любовь к матери	1	1
28	что иное как	1	1
29	мы видим и	1	1
30	было на самом	1	1
31	имеем в виду	1	1
32	методом и с	1	1
33	в этом смысле	3	1
34	же как и	1	1
35	и та же	1	1
36	в области психологии	1	1
37	смысл и значение	1	1
38	что в них	1	1
39	а с другой	1	1
40	может быть даже	1	1
41	как и всегда	1	1
42	все эти понятия	1	1
43	с этой точки	1	1
44	по крайней мере	3	1
45	вместе с тем	1	1
46	по аналогии с	2	1
47	полном согласии с	1	1
48	же что и	1	1
49	то ни было	1	1
50	и что он	1	1
51	с одной стороны	1	1
52	и в чем	1	1
53	бессознательное по самому	1	1
54	не могут быть	2	1
55	имеем дело с	1	1
56	и проч отсюда	1	1
57	в связи с	1	1
58	и со всеми	1	1
59	а потому и	2	1
60	одна и та	1	1
61	будет как раз	1	1
62	в свое время	1	1
63	форма и содержание	1	1
64	и мы можем	1	1
65	друг с другом	1	1
66	в переводе на	2	1
67	нечего и говорить	2	1
68	может быть это	3	1
69	знаем что и	1	1
70	в этом и	1	1
71	мы имеем в	1	1
72	связи с этим	1	1
73	в область бессознательного	1	1
74	с самого начала	4	1
75	свой метод к	1	1
76	в бессознательном и	1	1
77	можно сказать что	3	1
78	он может быть	1	1
79	одного и того	1	1
80	в полном согласии	1	1
81	в том смысле	1	1
82	не что иное	1	1
83	психологии а в	1	1
84	и как всякий	1	1
85	случае не может	1	1
86	в высшей степени	1	1
87	так как он	1	1
88	же самое и	1	1
89	мы увидим что	1	1
