N	3gram	Berdyaev_N_1	Myshleni
1	в том что	1	31
2	с одной стороны	2	9
3	в этом смысле	2	8
4	с другой стороны	2	8
5	так же как	2	5
6	можно было бы	1	5
7	одного и того	1	5
8	и того же	1	5
9	же как и	1	4
10	о том что	1	3
11	в основе их	1	3
12	во всяком случае	1	3
13	вместе с тем	2	3
14	бы сказать что	1	3
15	подобно тому как	3	2
16	не могут быть	1	2
17	это значит что	1	2
18	в том числе	1	2
19	не знает что	1	2
20	в высшей степени	6	2
21	в отличие от	1	2
22	в том смысле	1	2
23	но и в	1	2
24	том числе и	1	2
25	в том чтобы	1	2
26	мы конечно не	1	1
27	было бы сказать	1	1
28	не может быть	4	1
29	в том случае	1	1
30	вопрос о том	2	1
31	в переходе от	1	1
32	и во всех	1	1
33	что в этом	1	1
34	как и в	1	1
35	когда мы говорим	2	1
36	заключает в себе	1	1
37	равно как и	2	1
38	имея в виду	1	1
39	до сих пор	1	1
40	и для другого	1	1
41	и в истории	1	1
42	в силу присущей	1	1
43	том случае если	1	1
44	говорит что в	1	1
45	дня и ночи	1	1
46	не может остаться	1	1
47	в то время	1	1
48	что в силу	1	1
49	в зависимости от	1	1
50	не только в	1	1
51	в такой же	1	1
52	то что в	1	1
53	я думаю что	1	1
54	такой же мере	1	1
55	то время как	1	1
56	по своей природе	1	1
57	которые могут быть	1	1
58	есть прежде всего	1	1
59	мы говорим о	1	1
