N	3gram	Ircho_Kome_2	Mirosoze
1	не может быть	1	17
2	не было бы	1	5
3	вместе с тем	4	5
4	но и в	1	4
5	потому что в	1	3
6	и в самом	1	3
7	что он не	1	2
8	в то время	3	2
9	в динамике в	1	2
10	по отношению к	3	2
11	не только в	1	2
12	как будто бы	1	2
13	то время как	2	2
14	для того чтобы	4	2
15	в нем не	2	2
16	до сих пор	2	2
17	о том что	4	1
18	на протяжении всего	1	1
19	по сравнению с	1	1
20	если в основе	1	1
21	с утра до	1	1
22	с той целью	1	1
23	и его судьба	1	1
24	и в том	1	1
25	и т п	2	1
26	что и в	2	1
27	том случае если	1	1
28	в том что	5	1
29	к человеку не	1	1
30	той целью чтобы	1	1
31	свои силы в	1	1
32	в отличие от	2	1
33	никто не может	1	1
34	но не менее	1	1
35	в том случае	1	1
36	только в начале	1	1
37	утра до вечера	1	1
38	и та же	1	1
39	в самом деле	1	1
40	в начале xx	1	1
41	ответ на это	1	1
42	вместе с человеком	1	1
43	одна и та	1	1
44	в наше время	1	1
45	огромный шаг вперед	1	1
46	так и не	1	1
47	ни у кого	1	1
48	во всяком случае	2	1
49	что он был	1	1
50	в этих словах	1	1
51	мы не знали	1	1
52	можно было бы	2	1
